"","V1","V2","V3","V4"
"1",3,11,2,2.07568038929845
"2",4,11,2,2.9682244445621
"3",7,11,2,1.71536940531013
"4",10,11,2,NA
"5",14,11,2,2.05604434153325
"6",17,11,2,1.28674808933387
"7",18,11,2,3.11040558891677
"8",20,11,2,2.45282922586638
"9",21,11,2,3.18280534655263
"10",30,11,2,1.00167816949394
"11",31,11,2,1.75652723587751
"12",33,11,2,2.97391079540431
"13",36,11,2,1.81657627566446
"14",39,11,2,1.64912371084294
"15",41,11,2,-1.24114147218355
"16",42,11,2,2.72216249750596
"17",43,11,2,1.7917530404477
"18",47,11,2,2.98556917895252
"19",52,11,2,2.26369406324634
"20",53,11,2,2.00653634980344
"21",57,11,2,2.33845499686006
"22",62,11,2,1.42782002594938
"23",72,11,2,1.35985682721915
"24",73,11,2,2.08518765009427
"25",74,11,2,2.30825537674212
"26",77,11,2,1.47464491500557
"27",96,11,2,3.32909323180953
"28",99,11,2,1.31463116549208
"29",116,11,2,NA
"30",121,11,2,2.10339001061261
"31",6,58,1,2.40765878027441
"32",22,58,1,2.0283368451791
"33",25,58,1,1.3054885632159
"34",27,58,1,1.49690093750745
"35",28,58,1,2.00958895427024
"36",38,58,1,2.27816308522043
"37",40,58,1,2.26493666686554
"38",44,58,1,2.98685301823145
"39",45,58,1,1.62489047278348
"40",46,58,1,1.40739413553405
"41",49,58,1,2.43811084976775
"42",55,58,1,2.17201939127417
"43",58,58,1,1.32334347865211
"44",67,58,1,3.05665674083868
"45",68,58,1,1.51804835678945
"46",70,58,1,1.60597586146784
"47",75,58,1,1.55048964021545
"48",82,58,1,3.75627354273938
"49",84,58,1,1.81203978448062
"50",85,58,1,2.7866003643806
"51",86,58,1,2.35375933960765
"52",87,58,1,1.8273295829428
"53",89,58,1,1.67013621674137
"54",91,58,1,2.52145432429244
"55",94,58,1,1.0659687113626
"56",95,58,1,1.83817075824665
"57",104,58,1,1.62831038462315
"58",117,58,1,1.56627090120368
"59",119,58,1,2.18823829273095
"60",120,58,1,2.1445071827024
"61",2,92,2,NA
"62",5,92,2,2.88670853037924
"63",12,92,2,2.21356062100287
"64",13,92,2,2.73110433679058
"65",15,92,2,2.06429627045095
"66",19,92,2,1.91172553762276
"67",24,92,2,2.37764344140633
"68",26,92,2,2.73232609877076
"69",29,92,2,1.68049827888257
"70",35,92,2,1.49012006708991
"71",48,92,2,2.43712264233869
"72",56,92,2,2.6100569854156
"73",59,92,2,1.4080608751816
"74",63,92,2,1.97179687949494
"75",65,92,2,1.68021677957465
"76",66,92,2,2.39479632711914
"77",71,92,2,2.64889219973803
"78",76,92,2,1.46709771698097
"79",79,92,2,2.63596003886702
"80",81,92,2,1.96925698409711
"81",83,92,2,2.44472146501489
"82",90,92,2,2.23073744880033
"83",92,92,2,1.4928174957957
"84",93,92,2,2.08546102321624
"85",97,92,2,1.30477871700603
"86",98,92,2,1.31390825507374
"87",100,92,2,NA
"88",105,92,2,1.13694013582609
"89",107,92,2,1.08791597712388
"90",113,92,2,2.50864213155896
"91",1,100,1,1.87366301361267
"92",8,100,1,2.38096904229129
"93",9,100,1,2.15887528739497
"94",11,100,1,3.1330560621337
"95",16,100,1,2.0221065327714
"96",23,100,1,2.30163808067946
"97",32,100,1,2.66854348112511
"98",34,100,1,2.51353086440539
"99",50,100,1,2.85523111758938
"100",51,100,1,2.1441092226728
"101",54,100,1,2.47229758700179
"102",60,100,1,1.55900357665933
"103",64,100,1,2.28886762208524
"104",69,100,1,1.88557167403544
"105",78,100,1,1.75507296292651
"106",80,100,1,2.90438310859733
"107",88,100,1,1.58681698300812
"108",102,100,1,2.39900651483878
"109",103,100,1,2.3480262997286
"110",106,100,1,1.69181229832186
"111",108,100,1,4.35693245285623
"112",109,100,1,2.94181156823153
"113",110,100,1,2.03726871445972
"114",112,100,1,1.57661634819418
"115",114,100,1,1.89177750896991
"116",118,100,1,2.28128196598263
"117",125,100,1,3.04561917800606
