Date,Timepoint,Temp,Ref.Dry.g,Ref.SW.g,Ref.FW.g
20180127,Time0,29.6,28.067,15.179,15.52
20180317,Time1,28.9,47.406,25.656,26.222
20180507,Time2,28.8,28.107,15.177,15.52
20180827,Time3,26.6,47.426,25.57,26.005
20181101,Time4,28.2,47.402,25.642,26.213
