Fragment.ID,New.Fragment.ID,Rack,Depth,Date,TimePoint,Status,Mass.g,Temp.C,Days,Length.mm,Width.mm,QC,Notes
3,,11,Shallow,20180127,Time0,Alive,6.819,29.6,NA,25,23,HP,
4,,11,Shallow,20180127,Time0,Alive,9.544,29.6,NA,34,24,HP,
7,,11,Shallow,20180127,Time0,Alive,9.405,29.6,NA,27,20,HP,
10,,11,Shallow,20180127,Time0,Alive,6.863,29.6,NA,28,16,HP,
14,,11,Shallow,20180127,Time0,Alive,20.04,29.6,NA,38,32,HP,
17,,11,Shallow,20180127,Time0,Alive,7.998,29.6,NA,31,24,HP,
18,,11,Shallow,20180127,Time0,Alive,7.665,29.6,NA,22,19,HP,
20,,11,Shallow,20180127,Time0,Alive,9.888,29.6,NA,21,23,HP,
21,,11,Shallow,20180127,Time0,Alive,6.45,29.6,NA,27,25,HP,
30,,11,Shallow,20180127,Time0,Alive,2.558,29.6,NA,22,17,HP,
31,,11,Shallow,20180127,Time0,Alive,6.412,29.6,NA,24,22,HP,
33,,11,Shallow,20180127,Time0,Alive,5.54,29.6,NA,24,23,HP,
36,,11,Shallow,20180127,Time0,Alive,9.06,29.6,NA,31,23,HP,
39,,11,Shallow,20180127,Time0,Alive,3.808,29.6,NA,25,18,HP,
41,,11,Shallow,20180127,Time0,Alive,4.534,29.6,NA,23,23,HP,
42,,11,Shallow,20180127,Time0,Alive,6.924,29.6,NA,22,32,HP,
43,,11,Shallow,20180127,Time0,Alive,9.155,29.6,NA,27,23,HP,
47,,11,Shallow,20180127,Time0,Alive,6.67,29.6,NA,26,14,HP,
52,,11,Shallow,20180127,Time0,Alive,5.146,29.6,NA,20,16,HP,
53,,11,Shallow,20180127,Time0,Alive,3.688,29.6,NA,21,14,HP,
57,,11,Shallow,20180127,Time0,Alive,2.313,29.6,NA,17,16,HP,
62,,11,Shallow,20180127,Time0,Alive,2.769,29.6,NA,23,17,HP,
72,,11,Shallow,20180127,Time0,Alive,5.338,29.6,NA,25,18,HP,
73,,11,Shallow,20180127,Time0,Alive,2.311,29.6,NA,15,13,HP,
74,,11,Shallow,20180127,Time0,Alive,4.827,29.6,NA,19,26,HP,
77,,11,Shallow,20180127,Time0,Alive,13.527,29.6,NA,43,35,HP,
96,,11,Shallow,20180127,Time0,Alive,4.382,29.6,NA,19,23,HP,
99,,11,Shallow,20180127,Time0,Alive,5.412,29.6,NA,31,23,HP,
116,,11,Shallow,20180127,Time0,Alive,10.156,29.6,NA,25,32,HP,
121,,11,Shallow,20180127,Time0,Alive,8.183,29.6,NA,41,25,HP,
6,,58,Deep,20180127,Time0,Alive,8.296,29.6,NA,22,21,HP,
22,,58,Deep,20180127,Time0,Alive,13.758,29.6,NA,38,35,HP,
25,,58,Deep,20180127,Time0,Alive,7.187,29.6,NA,39,32,HP,
27,,58,Deep,20180127,Time0,Alive,6.306,29.6,NA,19,25,HP,
28,,58,Deep,20180127,Time0,Alive,7.172,29.6,NA,32,25,HP,
38,,58,Deep,20180127,Time0,Alive,19.916,29.6,NA,33,33,HP,
40,,58,Deep,20180127,Time0,Alive,11.873,29.6,NA,28,23,HP,
44,,58,Deep,20180127,Time0,Alive,9.028,29.6,NA,22,20,HP,
45,,58,Deep,20180127,Time0,Alive,7.611,29.6,NA,29,30,HP,
46,,58,Deep,20180127,Time0,Alive,6.457,29.6,NA,41,24,HP,
49,,58,Deep,20180127,Time0,Alive,11.067,29.6,NA,34,27,HP,
55,,58,Deep,20180127,Time0,Alive,6.401,29.6,NA,28,23,HP,
58,,58,Deep,20180127,Time0,Alive,4.734,29.6,NA,30,23,HP,
67,,58,Deep,20180127,Time0,Alive,9.461,29.6,NA,26,35,HP,
